word	count	suggestion	sugg_count	first_letter	sugg_letter
gamhing	1	hamhing	92	g	h
aoh	1	moh	92	a	m
uchate	1	achate	92	u	a
gatong	1	natong	91	g	n
sing	1	ging	91	s	g
sola	1	bola	90	s	b
uim	1	him	90	u	h
idon	1	adon	90	i	a
kihin	1	eihin	89	k	e
ieivui	1	leivui	89	i	l
pihin	1	eihin	89	p	e
hahsen	1	kahsen	89	h	k
phattou	1	khattou	89	p	k
ye	1	be	88	y	b
ze	1	be	88	z	b
-e	1	be	88	-	b
phim	1	thim	87	p	t
ichang	1	achang	87	i	a
lange	1	nange	86	l	n
khatah	1	phatah	86	k	p
pange	1	nange	86	p	n
kange	1	nange	86	k	n
hange	1	nange	86	h	n
pham	1	cham	85	p	c
hopi	1	sopi	85	h	s
ioi	1	noi	85	i	n
topi	1	sopi	85	t	s
pailou	1	tailou	83	p	t
reho	1	jeho	83	r	j
eiching	1	miching	83	e	m
latin	1	natin	83	l	n
hatin	1	natin	83	h	n
heho	1	jeho	83	h	j
mom	1	kom	82	m	k
aom	1	kom	82	a	k
ahilsoh	1	thilsoh	81	a	t
hiletsah	1	kiletsah	81	h	k
dungin	1	nungin	81	d	n
samun	1	kamun	81	s	k
jamun	1	kamun	81	j	k
ihao	1	khao	81	i	k
kilouvin	1	hilouvin	80	k	h
chingdoh	1	ahingdoh	80	c	a
gahsa	1	hahsa	80	g	h
vamin	1	namin	80	v	n
habol	1	labol	80	h	l
jahsa	1	hahsa	80	j	h
bam	1	kam	79	b	k
aal	1	nal	79	a	n
eal	1	nal	79	e	n
mam	1	kam	79	m	k
zam	1	kam	79	z	k
sing	1	ling	79	s	l
cal	1	nal	79	c	n
-an	1	san	79	-	s
dailhah	1	kailhah	78	d	k
ihaina	1	lhaina	78	i	l
bam	1	jam	78	b	j
songlou	1	longlou	78	s	l
mam	1	jam	78	m	j
pouna	1	touna	78	p	t
zam	1	jam	78	z	j
ron	1	bon	78	r	b
bah-in	1	sah-in	78	b	s
mauvin	1	dauvin	78	m	d
nouna	1	touna	78	n	t
kauvin	1	dauvin	78	k	d
donglou	1	longlou	78	d	l
zina	1	tina	77	z	t
ssoh	1	asoh	77	s	a
yui	1	hui	77	y	h
kui	1	hui	77	k	h
aoh	1	poh	77	a	p
bui	1	hui	77	b	h
kheh-uvin	1	cheh-uvin	77	k	c
aui	1	hui	77	a	h
timon	1	simon	77	t	s
ihinpo	1	ahinpo	77	i	a
phol	1	ahol	77	p	a
kanga	1	manga	76	k	m
bam	1	sam	76	b	s
salaam	1	balaam	76	s	b
mam	1	sam	76	m	s
zam	1	sam	76	z	s
eiu	1	jiu	76	e	j
lol	1	kol	76	l	k
aholjin	1	kholjin	76	a	k
yah	1	pah	76	y	p
'ah	1	pah	76	'	p
sutna	1	lutna	76	s	l
pih	1	lih	75	p	l
ikho	1	akho	75	i	a
eitan	1	kitan	74	e	k
qi	1	ai	74	q	a
macha	1	vacha	74	m	v
sate	1	kate	74	s	k
hahem	1	sahem	74	h	s
gapan	1	napan	74	g	n
iunga	1	hunga	74	i	h
pitan	1	kitan	74	p	k
ri	1	ai	74	r	a
titan	1	kitan	74	t	k
jate	1	kate	74	j	k
jamkai	1	gamkai	73	j	g
yui	1	lui	73	y	l
kui	1	lui	73	k	l
bui	1	lui	73	b	l
aui	1	lui	73	a	l
ihut	1	lhut	72	i	l
thut	1	lhut	72	t	l
ngel	1	agel	72	n	a
ahut	1	lhut	72	a	l
dahna	1	sahna	71	d	s
pahna	1	sahna	71	p	s
aal	1	lal	71	a	l
ikihei	1	akihei	71	i	a
eal	1	lal	71	e	l
iseidoh	1	aseidoh	71	i	a
kahna	1	sahna	71	k	s
cal	1	lal	71	c	l
punguva	1	sunguva	71	p	s
hahna	1	sahna	71	h	s
jahna	1	sahna	71	j	s
phol	1	chol	71	p	c
ijo	1	ajo	70	i	a
dathu	1	nathu	70	d	n
mise	1	hise	70	m	h
'in	1	ain	70	'	a
eise	1	hise	70	e	h
sanpi	1	panpi	69	s	p
thomin	1	khomin	69	t	k
isopipa	1	asopipa	69	i	a
banpi	1	panpi	69	b	p
pham	1	kham	69	p	k
kame	1	name	69	k	n
hanpi	1	panpi	69	h	p
game	1	name	69	g	n
same	1	name	69	s	n
tame	1	name	69	t	n
dah-a	1	jah-a	69	d	j
hongkul	1	songkul	69	h	s
ithahat	1	athahat	69	i	a
vah-a	1	jah-a	69	v	j
guma	1	puma	69	g	p
iuma	1	puma	69	i	p
thohsah	1	khohsah	68	t	k
polna	1	bolna	68	p	b
phim	1	ahim	68	p	a
chohsah	1	khohsah	68	c	k
sate	1	nate	68	s	n
htia	1	atia	68	h	a
jate	1	nate	68	j	n
pouna	1	houna	67	p	h
dathu	1	kathu	67	d	k
pham	1	iham	67	p	i
nouna	1	houna	67	n	h
dungin	1	hungin	67	d	h
yah	1	mah	67	y	m
'ah	1	mah	67	'	m
ihauvin	1	lhauvin	66	i	l
ahauvin	1	lhauvin	66	a	l
iengpilei	1	lengpilei	66	i	l
-a	1	ha	66	-	h
ea	1	ha	66	e	h
eijot	1	kijot	66	e	k
phim	1	shim	65	p	s
peiyuva	1	keiyuva	65	p	k
khenga	1	thenga	65	k	t
pitah	1	kitah	65	p	k
rache	1	kache	64	r	k
pengnu	1	lengnu	64	p	l
mache	1	kache	64	m	k
nm	1	im	64	n	i
hm	1	im	64	h	i
tloi	1	aloi	64	t	a
hamlah	1	gamlah	64	h	g
savet	1	kavet	64	s	k
ileng	1	aleng	64	i	a
yah	1	bah	64	y	b
om	1	im	64	o	i
'ah	1	bah	64	'	b
-em	1	tem	64	-	t
khem	1	lhem	63	k	l
kil	1	hil	63	k	h
damtauve	1	gamtauve	63	d	g
bil	1	hil	63	b	h
hau	1	sau	63	h	s
pil	1	hil	63	p	h
misuh	1	kisuh	63	m	k
ihem	1	lhem	63	i	l
ihauvin	1	chauvin	62	i	c
neh-u	1	jeh-u	62	n	j
ahauvin	1	chauvin	62	a	c
ikou	1	akou	62	i	a
emah	1	umah	62	e	u
seh-u	1	jeh-u	62	s	j
leh-u	1	jeh-u	62	l	j
aeh-u	1	jeh-u	62	a	j
tato	1	nato	62	t	n
iheuvin	1	cheuvin	62	i	c
deh-u	1	jeh-u	62	d	j
maman	1	haman	62	m	h
theuvin	1	cheuvin	62	t	c
aiti	1	eiti	61	a	e
ukom	1	akom	61	u	a
vama	1	kama	61	v	k
ikom	1	akom	61	i	a
cama	1	kama	61	c	k
moah	1	noah	61	m	n
baboh	1	naboh	61	b	n
eisel	1	kisel	61	e	k
solama	1	polama	61	s	p
lit	1	hit	61	l	h
vit	1	hit	61	v	h
tolama	1	polama	61	t	p
dit	1	hit	61	d	h
'ama	1	kama	61	'	k
bit	1	hit	61	b	h
iumna	1	aumna	61	i	a
eikhol	1	kikhol	61	e	k
thep	1	lhep	60	t	l
ikoi	1	akoi	60	i	a
'koi	1	akoi	60	'	a
satha	1	natha	60	s	n
eisil	1	kisil	60	e	k
nul	1	pul	59	n	p
ron	1	von	59	r	v
gia	1	jia	59	g	j
ahama	1	chama	59	a	c
nasangin	1	masangin	59	n	m
nong	1	dong	59	n	d
sul	1	pul	59	s	p
lana	1	kana	59	l	k
thoma	1	khoma	59	t	k
thama	1	chama	59	t	c
bia	1	jia	59	b	j
lhama	1	chama	59	l	c
ahoma	1	khoma	59	a	k
lamdoh	1	jamdoh	58	l	j
mn	1	jn	58	m	j
ye	1	ve	58	y	v
mumin	1	kumin	58	m	k
hn	1	jn	58	h	j
gadon	1	nadon	58	g	n
ze	1	ve	58	z	v
ilen	1	alen	58	i	a
hahinkho	1	kahinkho	58	h	k
jumin	1	kumin	58	j	k
ganu	1	nanu	58	g	n
zel	1	lel	58	z	l
-e	1	ve	58	-	v
-em	1	sem	58	-	s
aonga	1	konga	58	a	k
janu	1	nanu	58	j	n
sanu	1	nanu	58	s	n
hanu	1	nanu	58	h	n
imatoh	1	amatoh	58	i	a
rache	1	nache	57	r	n
dongu	1	mongu	57	d	m
mache	1	nache	57	m	n
gongu	1	mongu	57	g	m
zel	1	vel	57	z	v
nongu	1	mongu	57	n	m
kongu	1	mongu	57	k	m
tongu	1	mongu	57	t	m
phol	1	khol	57	p	k
katna	1	natna	56	k	n
qi	1	ki	56	q	k
lenguva	1	jenguva	56	l	j
vachan	1	nachan	56	v	n
pela	1	hela	56	p	h
jela	1	hela	56	j	h
teiya	1	seiya	56	t	s
